datetime,low,high,open,close,volumefrom,volumeto
02/10/2017 08:00,301.15,301.69,301.3,301.37,740.7,223174.12
02/10/2017 09:00,301.32,301.84,301.37,301.84,853.67,257550.98
02/10/2017 10:00,301.3,301.95,301.84,301.95,801.42,241777.54
02/10/2017 11:00,300.02,302,301.95,300.02,1361.15,410165.38
02/10/2017 12:00,296.66,300.54,300.02,297.51,4610.19,1375251.38
02/10/2017 13:00,297,298.85,297.51,298.84,2735.81,814072.25
02/10/2017 14:00,298.29,299.63,298.84,299.01,3154.88,943365.94
02/10/2017 15:00,297.1,299.01,299.01,297.46,2990.29,891909.42
02/10/2017 16:00,296.11,297.46,297.46,296.54,4391.8,1303647.77
02/10/2017 17:00,294.76,297,296.54,294.99,5907.63,1746500.37
02/10/2017 18:00,293.73,295,294.99,294.46,5593.71,1646024.48
02/10/2017 19:00,294.45,297.3,294.46,297.16,2825.89,836454.42
02/10/2017 20:00,295.36,297.18,297.16,296.07,2172.13,644407.34
02/10/2017 21:00,295.5,296.77,296.07,295.55,1919.5,568467.65
02/10/2017 22:00,295.54,296.56,295.55,296.15,1236.02,366077.92
02/10/2017 23:00,296,296.92,296.15,296.72,1690.39,500909.27
03/10/2017 00:00,296.72,297.93,296.72,297.28,1476.67,439103.05
03/10/2017 01:00,297.28,297.98,297.28,297.98,1626.86,484572.83
03/10/2017 02:00,297.72,297.99,297.98,297.83,1354.62,403535.81
03/10/2017 03:00,297.73,299,297.83,298.99,3660.22,1091579.48
03/10/2017 04:00,298.91,299,298.99,298.91,1660.03,496338.88
03/10/2017 05:00,294.72,298.92,298.91,295.53,4349.7,1288973.03
03/10/2017 06:00,293.91,295.53,295.53,294.04,2067.23,608287.08
03/10/2017 07:00,292.51,294.05,294.04,292.57,2041.77,598978.51
03/10/2017 08:00,290.96,293.03,292.57,291.62,3501.75,1021768.08
03/10/2017 09:00,289,291.62,291.62,289.21,2622.89,760862.48
03/10/2017 10:00,287.65,292.42,289.21,292.07,3642.95,1054116.48
03/10/2017 11:00,291.16,293.1,292.07,293.1,1292.63,377802.12
03/10/2017 12:00,291,293.92,293.1,291.01,2510.52,735080.32
03/10/2017 13:00,289,291.01,291.01,289.85,4266.23,1237511.71
03/10/2017 14:00,288.21,291.04,289.85,291,3688.54,1067806.68
03/10/2017 15:00,290.92,293.17,291,293.08,2495.67,728371.18
03/10/2017 16:00,290.1,293.23,293.08,290.33,2267.53,661659.88
03/10/2017 17:00,290.11,290.35,290.33,290.34,1934.1,561308.14
03/10/2017 18:00,290.34,290.99,290.34,290.99,1516.78,441031.92
03/10/2017 19:00,290.51,291,290.99,290.51,1713.2,498462.92
03/10/2017 20:00,290.13,290.52,290.51,290.52,1162.69,337761.71
03/10/2017 21:00,290.1,292.71,290.52,290.1,3291.11,959428.75
03/10/2017 22:00,289.58,291.85,290.1,291.61,1722.88,500087.51
03/10/2017 23:00,291.02,292.5,291.61,292.36,2380.88,694590.47
04/10/2017 00:00,291.46,292.47,292.36,292.34,1946.87,568744.61
04/10/2017 01:00,292.11,292.9,292.34,292.88,1132.74,331154.62
04/10/2017 02:00,291.16,292.88,292.88,292.4,1378.55,402566.3
04/10/2017 03:00,292.39,292.88,292.4,292.87,1031.32,302013.23
04/10/2017 04:00,292.65,293.08,292.87,293.07,1828.14,535503.13
04/10/2017 05:00,293.06,295,293.07,295,2418.71,712637.28
04/10/2017 06:00,294.58,295,295,294.74,926.11,273048.32
04/10/2017 07:00,294.73,295,294.74,295,611.69,180430.11
04/10/2017 08:00,294.63,295,295,294.63,1780.73,524928.01
04/10/2017 09:00,293.97,294.8,294.63,293.97,1842.19,542001.91
04/10/2017 10:00,293.14,293.97,293.97,293.65,1345.34,394886.94
04/10/2017 11:00,290.29,294.08,293.65,293.13,1843.98,538937.25
04/10/2017 12:00,290,293.34,293.13,290.01,1391.96,406352.71
04/10/2017 13:00,289.62,292.86,290.01,292.86,3004.87,873275.59
04/10/2017 14:00,292.1,292.99,292.86,292.67,1884.93,551342.41
04/10/2017 15:00,291.83,293.49,292.67,293.38,1246.83,364969.79
04/10/2017 16:00,291.47,293.49,293.38,293.03,3402.5,994823.18
04/10/2017 17:00,292.34,293.3,293.03,292.34,1381.66,404723.42
04/10/2017 18:00,290.64,292.51,292.34,291.19,2740.56,799177.13
04/10/2017 19:00,291.19,291.99,291.19,291.84,1328.31,386936.49
04/10/2017 20:00,290.78,291.85,291.84,290.79,1736.06,505369.64
04/10/2017 21:00,290.78,292,290.79,291.56,1345,392434.96
04/10/2017 22:00,291.55,292,291.56,292,2365.27,690339.77
04/10/2017 23:00,291.99,292.4,292,292,1624.57,474703.37
05/10/2017 00:00,291.66,292.4,292,292.3,897.55,262157.57
05/10/2017 01:00,292.05,293.12,292.3,293.12,913.03,267214.56
05/10/2017 02:00,292.49,294,293.12,293.91,1725.47,506824.78
