datetime,low,high,open,close,volumefrom,volumeto
02/10/2017 08:00,4435,4448.98,4435.01,4448.85,85.51,379813.67
02/10/2017 09:00,4448.84,4470,4448.85,4464.49,165.17,736269.53
02/10/2017 10:00,4450.27,4469,4464.49,4461.63,194.95,870013.62
02/10/2017 11:00,4399,4461.63,4461.63,4399.51,326.71,1445572.02
02/10/2017 12:00,4378.22,4417.91,4399.51,4383,549.29,2412712.73
02/10/2017 13:00,4382.99,4414.98,4383,4407.01,385.57,1696208.42
02/10/2017 14:00,4406.1,4423,4407.01,4423,368.01,1624131.1
02/10/2017 15:00,4371,4423,4423,4376.81,534.28,2348739.01
02/10/2017 16:00,4376.8,4413.66,4376.81,4394.77,404.66,1779979.01
02/10/2017 17:00,4367.73,4399.58,4394.77,4372.32,557,2441033.46
02/10/2017 18:00,4361.99,4386.27,4372.32,4375.6,557.83,2440870.4
02/10/2017 19:00,4375.59,4407.25,4375.6,4399.98,359.47,1581208.23
02/10/2017 20:00,4357.25,4404.96,4399.98,4380,532.53,2335859.42
02/10/2017 21:00,4354.99,4399,4380,4375.91,402.99,1765960.98
02/10/2017 22:00,4364.36,4378.18,4375.91,4368.07,219.14,957915.24
02/10/2017 23:00,4368.06,4394.2,4368.07,4392.71,341.25,1494626.21
03/10/2017 00:00,4375.33,4392.71,4392.71,4381.72,180.65,791906.65
03/10/2017 01:00,4378.27,4415,4381.72,4409.27,280.39,1232470.63
03/10/2017 02:00,4406.64,4419.95,4409.27,4410.86,296.33,1308415.86
03/10/2017 03:00,4409,4417.98,4410.86,4417.01,145.56,642451.31
03/10/2017 04:00,4412.43,4417.01,4417.01,4412.43,119.23,526598.54
03/10/2017 05:00,4300,4412.44,4412.43,4305.36,787.35,3420547.29
03/10/2017 06:00,4275.73,4323,4305.36,4292.01,549.54,2363931.67
03/10/2017 07:00,4267.01,4314,4292.01,4290.32,292.65,1255164.65
03/10/2017 08:00,4282.45,4360,4290.32,4333.99,1365.84,5919637.12
03/10/2017 09:00,4296.95,4333.99,4333.99,4297.33,162.16,698460.74
03/10/2017 10:00,4255,4360,4297.33,4333.99,1653.63,7134916.51
03/10/2017 11:00,4302.59,4334,4333.99,4311.89,248.74,1072554.18
03/10/2017 12:00,4264.37,4311.89,4311.89,4264.37,280.29,1202818
03/10/2017 13:00,4242.42,4277.19,4264.37,4245.97,540.19,2297614.09
03/10/2017 14:00,4242,4295.47,4245.97,4278.77,649.45,2766281.94
03/10/2017 15:00,4277.23,4300,4278.77,4293.75,288.25,1235447.54
